                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7337,                 4.4371,                 1.9714,                0.00199,                   0.25,                 0.0348,                0.01259,                 2.3486,                 4.7722,                 1.7874,                      0,                      0,                      0
                      2,                 2.3638,                 4.5088,                 1.7111,                0.00207,                   0.25,                0.08732,                0.01848,                 2.2754,                 4.7012,                 1.7035,             1.1675e-05,             1.1675e-05,             1.1675e-05
                      3,                  2.354,                 4.6613,                 1.9584,                0.00207,                   0.25,                0.17656,                0.03762,                 2.3118,                  4.548,                 1.7469,               2.17e-05,               2.17e-05,               2.17e-05
                      4,                 2.2108,                   4.12,                 1.7301,                0.08569,                0.16667,                0.19375,                0.04451,                 2.2942,                 4.2684,                  1.717,             3.0075e-05,             3.0075e-05,             3.0075e-05
                      5,                 2.6562,                 4.1232,                  1.818,                0.15618,                 0.1457,                0.18976,                0.04784,                 2.2533,                 3.8891,                 1.6683,               3.68e-05,               3.68e-05,               3.68e-05
                      6,                 2.2511,                 3.6778,                 1.9348,                0.68333,                0.23331,                0.21219,                  0.056,                 2.2854,                 3.4685,                 1.6988,             4.1875e-05,             4.1875e-05,             4.1875e-05
                      7,                 2.3805,                  3.366,                 1.9402,                0.68207,                   0.25,                0.22823,                0.06242,                  2.342,                  3.114,                 1.7355,               4.53e-05,               4.53e-05,               4.53e-05
                      8,                 2.4532,                 3.1691,                 1.8955,                0.93461,                   0.25,                0.26447,                0.07441,                 2.2896,                 2.8467,                 1.6946,             4.7075e-05,             4.7075e-05,             4.7075e-05
                      9,                 2.2495,                 2.7859,                  1.986,                0.93472,                   0.25,                0.28452,                0.08524,                 2.3339,                 2.5732,                 1.7104,               4.72e-05,               4.72e-05,               4.72e-05
                     10,                   2.15,                  2.952,                 1.7588,                      1,                0.22616,                0.33737,                0.12097,                 2.3633,                 2.3255,                 1.7416,             4.5675e-05,             4.5675e-05,             4.5675e-05
                     11,                 2.1282,                  2.893,                 1.9501,                      1,                0.23779,                0.53648,                0.22255,                 2.3523,                 2.1294,                 1.7094,               4.25e-05,               4.25e-05,               4.25e-05
                     12,                 2.0773,                 2.7029,                 1.8827,                0.64879,                  0.375,                0.57828,                0.26375,                 2.3653,                 2.0005,                 1.7396,             3.7675e-05,             3.7675e-05,             3.7675e-05
                     13,                 2.4616,                  2.707,                 1.8774,                0.39734,                    0.5,                0.60144,                0.27817,                 2.3701,                  1.925,                 1.7497,               3.12e-05,               3.12e-05,               3.12e-05
                     14,                 2.2191,                 2.4674,                 1.7323,                0.42452,                0.84966,                0.70458,                0.30418,                 2.3638,                 1.8981,                 1.7478,             2.3075e-05,             2.3075e-05,             2.3075e-05
                     15,                 2.1152,                 2.4553,                 1.9811,                 0.3797,                  0.875,                0.65281,                0.30738,                 2.3532,                 1.8866,                 1.7399,               1.33e-05,               1.33e-05,               1.33e-05
